item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,1,0,0,0
1,0,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,0,0
1,0,1,0,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,1,1
1,1,1,0,0,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,0,0,1
1,1,1,1,1,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,1,0,1
1,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,1,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,0,0
1,1,1,0,0,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,1,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,0,1,1
0,1,1,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,0,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,0,0,0,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0
1,1,1,1,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,0,1,1,1,1,0,1
1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1,1
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,0,1,0
0,1,0,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0
1,1,1,0,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,0,1,0,1,1,0,0
1,0,1,0,0,0,1,0,0,0
0,0,1,1,1,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,0,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,1
1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,0,1,0
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,1,0,0
1,0,1,0,0,1,1,0,1,0
0,0,0,0,1,0,0,0,1,1
1,1,0,0,1,0,1,0,0,0
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,0,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,1,1,1,1,1,1
0,0,0,1,0,0,1,1,0,1
1,1,1,1,1,1,1,0,1,1
0,1,0,0,1,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,0,1,0,0,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,0,0,1
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,0,1,1
1,1,1,1,0,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,0,1,1
0,0,1,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,0,0
1,1,1,1,0,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,1,1,1,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,1,0,1,1,1,1
0,1,1,0,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,0,1,0,0,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,0,0,1,1,0,0,0
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,1,1,0,1,1
1,1,1,1,1,0,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,0,1,0,0
1,0,1,1,1,1,1,0,1,1
1,0,1,0,0,1,1,1,1,0
1,1,1,1,0,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,1,1,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,1,1
1,1,1,0,0,0,1,0,0,0
1,1,1,0,0,0,1,0,0,0
1,1,1,0,0,0,1,0,1,1
1,0,1,1,0,0,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,0,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,0,1,0
1,1,1,0,1,1,1,1,1,0
1,0,1,0,0,1,1,1,1,1
1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,0,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0
1,1,1,1,0,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,0,1,1
1,0,1,1,0,0,1,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,1,1,1,1,0
0,0,1,0,0,1,1,0,0,0
1,0,1,0,1,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,0,0,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,1,1,1,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,0,1,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,1,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,0,0,0,0
1,0,1,0,0,1,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,0,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,1,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,0,0,0,1,0,0,0
1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,1,1,0,0,1
0,0,1,0,0,1,1,0,1,0
1,1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,0,1,1
1,0,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,0,1,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
0,0,1,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
1,0,1,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
